Headline
Minimum Viable Blog
Accountability Sinks
Connomore64: Cycle exact emulation of the C64 using parallel microcontrollers
Old Soviet Venus descent craft nearing Earth reentry
"The number of new apartments is at a 50-year high, but states expect a slowdown"
Creating Bluey: Tales from the Art Director
Show HN: I built a synthesizer based on 3D physics
The language brain matters more for programming than the math brain? (2020)
GitDroid: A third party Android app manager for apps uploaded to GitHub releases
I put sheet music into smart glasses [video]
We know a little more about Amazon's super-secret satellites
Why Is the Kiwi's Egg So Big?
Depictions of the Milky Way found in ancient Egyptian imagery
London's National Gallery purchases a painting by an unknown artist for $20M
Open-source AI platform for ear-based sensing applications
ePub-utils: A Python library and CLI tool for inspecting ePub from the terminal
The future of solar doesn't track the sun
Expanding on what we missed with sycophancy
Strings Just Got Faster
Two-phase chip cooling with manifold-capillary structures enables 10⁵ COP
Achieving Human Level Competitive Robot Table Tennis
Show HN: GPT-2 implemented using graphics shaders
The Design Evolution of Mailboxes
Suno v4.5
Derivation and Intuition behind Poisson distribution
What I've learned from jj
"Show HN: Blast – Fast, multi-threaded serving engine for web browsing AI agents"
Doom GPU Flame Graphs
Building Burstables: CPU slicing with cgroups
OneText (YC W23) Is Hiring a DevOps/DBA Lead Engineer
